Surgery	Age	Hospital	RectalTemp	Pulse	RR	TempExtr	PeriphPulse	MucousMembr	CapRefill	Pain	Peristalsis	AbdominalDist	NasogTube	NasogRefl	NasogReflpH	RectExFeces	Abdomen	CellVolume	TotProtein	AbdCentApp	AbdCenTotProt	Outcome	SurgLes	LesTypeSite1	LesTypeSite2	LesTypeSite3	cp_data
d	d	d	c	c	c	d	d	d	d	d	d	d	d	d	c	d	d	c	c	d	c	d	d	d	d	d	d
	i	i																				class	i	i	i	i	i
no	adult	528626	38.5	54	20		normal	bright	>= 3s	mild	absent	none	slight	> 1l	5.9		other	42	6.3			lived	2	3111	0	0	1
no	adult	527950	37.6	48	36			normal	<3 s		hypomotile							44	6.3	clear	5	lived	2	3111	0	0	1
yes	adult	535263	37.7	44	28		absent	pale	>= 3s	cont. severe	absent	severe	none	none		decreased	distend. large int.	45	70	serosanguinous	2	lived	1	3205	0	0	2
yes	adult	534523	37	56	24	cool	normal	pale cyan	>= 3s	severe	absent	moderate	none	none				35	61	serosanguinous	2	euthanized	2	2205	2208	0	2
no	adult	528926	38	42	12	cool		pale	<3 s	no pain		none					other	37	5.8			lived	2	3111	0	0	2
yes	adult	534922		60	40	cool		normal	<3 s		absent		significant	> 1l			distend. large int.	42	72			lived	1	3111	0	0	2
no	adult	527642	38.4	80	60	cool	increased	bright	<3 s	mild	normal	none	slight	> 1l		normal	normal	54	6.9			lived	2	0	0	0	2
no	adult	5279821	37.8	48	12	warm	normal	bright	<3 s	mild		none	slight			increased		48	7.3	clear		lived	2	0	0	0	1
	adult	534790	38	65	40		normal	pale cyan	>= 3s	depressed							distend. large int.						1	3111	3205	0	2
no	adult	5275211	37.9	45	36	cool	reduced	pale	>= 3s	depressed	hypomotile	none	slight	none		decreased		33	5.7	serosanguinous		lived	1	2205	0	0	1
no	adult	5278332	39	84	12	cool	normal	bright red	<3 s	depressed	absent	slight	none	> 1l	7		distend. small int.	62	5.9	cloudy	2.2	died	1	2208	0	0	1
no	adult	528959	38.2	60	24	cool	normal	pale	>= 3s	mild	hypomotile	slight	significant	< 1l		absent	distend. small int.	53	7.5	cloudy	1.4	lived	2	1124	0	0	1
yes	adult	534921		140				pale cyan	>= 3s	cont. severe	absent	severe	none	none			distend. large int.	30	69			died	2	6112	0	0	2
yes	adult	528999	37.9	120	60	cool	reduced	pale	<3 s	cont. severe	absent	severe	slight	> 1l	7.5	absent	distend. large int.	52	6.6	serosanguinous	1.8	died	1	3205	0	0	1
no	adult	528067	38	72	36	normal	normal	pale	<3 s	mild		slight	slight	none		decreased	distend. large int.	38	6.8	cloudy	2	lived	2	3124	0	0	1
no		5291329	38	92	28	normal	normal	bright	<3 s	no pain	hypomotile	slight	significant		7.2			37	6.1	clear	1.1	lived	2	0	0	0	1
yes	adult	529478	38.3	66	30	warm	reduced	normal	<3 s	depressed	absent	moderate	significant	> 1l	8.5	absent	distend. large int.	37	6			lived	1	5111	0	0	2
no	adult	529991	37.5	48	24	cool	normal	normal	<3 s	depressed	hypermotile		none	none		decreased	other	43	6	clear	2.8	lived	2	7111	0	0	1
yes	adult	530033	37.5	88	20	warm	reduced	pale	<3 s	severe	hypomotile	moderate						35	6.4	clear		died	1	2205	0	0	2
no		5299049		150	60	cold	absent	pale cyan	>= 3s	cont. severe	absent	severe										died	1	1400	0	0	2
yes	adult	534497	39.7	100	30			dark cyan	>= 3s	severe	absent	moderate	none			absent	distend. large int.	65	75			euthanized	1	3205	0	0	2
yes	adult	528369	38.3	80		cool	reduced	pale cyan	>= 3s	cont. severe	absent	moderate	slight	none		absent	distend. small int.	45	7.5	cloudy	4.6	lived	1	3209	0	0	1
no	adult	530107	37.5	40	32	cool	normal	pale	<3 s	mild	normal	moderate	slight	none			distend. large int.	32	6.4	clear	1.1	lived	1	3124	0	0	1
